DATE,STATION,LONGITUDE,PRCP_ATTRIBUTES,TMAX,ELEVATION,TMAX_ATTRIBUTES,TMIN,PRCP,LATITUDE,NAME,TMIN_ATTRIBUTES
2023-02-10,USW00094728,-73.96925,",,W,2400",16.1,42.7,",,W",7.2,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-02-11,USW00094728,-73.96925,",,W,2400",7.8,42.7,",,W",2.2,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-02-12,USW00094728,-73.96925,",,W,2400",8.9,42.7,",,W",3.3,0.3,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-02-13,USW00094728,-73.96925,",,W,2400",13.9,42.7,",,W",5.0,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-02-14,USW00094728,-73.96925,",,W,2400",12.2,42.7,",,W",4.4,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-02-15,USW00094728,-73.96925,",,W,2400",19.4,42.7,",,W",8.3,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-02-16,USW00094728,-73.96925,",,W,2400",21.1,42.7,",,W",13.3,1.8,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-02-17,USW00094728,-73.96925,",,W,2400",16.1,42.7,",,W",0.0,4.6,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-02-18,USW00094728,-73.96925,",,W,2400",6.1,42.7,",,W",-2.7,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-02-19,USW00094728,-73.96925,",,W,2400",10.0,42.7,",,W",2.8,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-02-20,USW00094728,-73.96925,",,W,2400",16.1,42.7,",,W",8.3,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-02-21,USW00094728,-73.96925,",,W,2400",10.0,42.7,",,W",2.8,6.9,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-02-22,USW00094728,-73.96925,",,W,2400",6.7,42.7,",,W",2.8,3.6,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-02-23,USW00094728,-73.96925,",,W,2400",6.7,42.7,",,W",3.3,0.5,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-02-24,USW00094728,-73.96925,",,W,2400",7.2,42.7,",,W",-3.8,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-02-25,USW00094728,-73.96925,"T,,W,2400",0.6,42.7,",,W",-4.9,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-02-26,USW00094728,-73.96925,",,W,2400",10.0,42.7,",,W",-1.0,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-02-27,USW00094728,-73.96925,",,W,2400",7.8,42.7,",,W",0.6,5.3,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-02-28,USW00094728,-73.96925,",,W,2400",3.3,42.7,",,W",0.0,8.6,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-01,USW00094728,-73.96925,",,W,2400",6.7,42.7,",,W",0.6,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-02,USW00094728,-73.96925,"T,,W,2400",12.2,42.7,",,W",3.9,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-03,USW00094728,-73.96925,",,W,2400",8.3,42.7,",,W",2.8,3.8,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-04,USW00094728,-73.96925,",,W,2400",7.2,42.7,",,W",3.3,25.1,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-05,USW00094728,-73.96925,",,W,2400",11.7,42.7,",,W",3.3,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-06,USW00094728,-73.96925,",,W,2400",11.1,42.7,",,W",4.4,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-07,USW00094728,-73.96925,",,W,2400",8.3,42.7,",,W",0.6,1.5,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-08,USW00094728,-73.96925,",,W,2400",8.9,42.7,",,W",-0.5,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-09,USW00094728,-73.96925,",,W,2400",10.6,42.7,",,W",0.6,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-10,USW00094728,-73.96925,",,W,2400",7.8,42.7,",,W",1.7,9.1,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-11,USW00094728,-73.96925,",,W,2400",7.2,42.7,",,W",1.7,10.2,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-12,USW00094728,-73.96925,",,W,2400",8.9,42.7,",,W",1.1,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-13,USW00094728,-73.96925,",,W,2400",7.2,42.7,",,W",3.3,17.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-14,USW00094728,-73.96925,",,W,2400",3.3,42.7,",,W",0.6,3.3,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-15,USW00094728,-73.96925,",,W,2400",7.2,42.7,",,W",1.1,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-16,USW00094728,-73.96925,",,W,2400",15.0,42.7,",,W",1.1,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-17,USW00094728,-73.96925,"T,,W,2400",15.6,42.7,",,W",8.3,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-18,USW00094728,-73.96925,",,W,2400",13.3,42.7,",,W",4.4,0.5,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-19,USW00094728,-73.96925,",,W,2400",4.4,42.7,",,W",-1.6,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
2023-03-20,USW00094728,-73.96925,",,W,2400",10.6,42.7,",,W",-0.5,0.0,40.77898,"NY CITY CENTRAL PARK, NY US",",,W"
